fileName,Roll,Year,Month,Day,Location,Latitude,Longitude,Altitude,pid_tn,pid_jpeg,pid_tiff,fiducial_proxy_type,focal_length
AP67V2_358,,,,,,,,unknown,,urn:uuid:fe84acb5-3095-4f6a-83c1-9cb2f0c27a06,urn:uuid:06ed8a2e-88f7-480c-b2d0-da8c5316f9ed,,
AP67V2_359,,,,,,,,unknown,,urn:uuid:bb258e10-be00-4cc3-99b8-0c92fa94fbff,urn:uuid:3a673195-340e-481d-9813-a1518de977d1,,
AP67V2_360,,,,,,,,unknown,,urn:uuid:32ad6c59-9ed7-4e13-bb20-6c5814340ff4,urn:uuid:3690220c-3eea-47fc-ac92-50e14e53718f,,
AP67V2_361,,,,,,,,unknown,,urn:uuid:23ef5523-46ea-42dc-bf56-c702a287cba6,urn:uuid:8b5bc081-2aa7-4aa2-8f46-69a21728500a,,
AP67V2_362,,,,,,,,unknown,,urn:uuid:2ec0ca76-3f42-40ff-8671-5ce305cd44db,urn:uuid:d3a929cd-d4d1-419c-9590-f5715ad309e9,,
AP67V2_363,,,,,,,,unknown,,urn:uuid:6a0c5cd1-83ae-4378-ad59-612bfa2b0045,urn:uuid:5d8fb2dc-714f-48df-99b9-8e2da4cc8822,,
AP67V2_364,,,,,,,,unknown,,urn:uuid:0e111042-61d3-4c93-a36b-f531a9dd09d8,urn:uuid:211a8aba-97a0-45f5-a24f-322f64c88763,,
AP67V2_365,,,,,,,,unknown,,urn:uuid:0c00cb89-8c26-4b7a-a2d2-cadb0a12a458,urn:uuid:583117b4-1def-4b71-b2ba-7618079eab51,,
AP67V2_366,,,,,,,,unknown,,urn:uuid:8d14541d-c066-4db5-aafe-42499838b386,urn:uuid:9a733ddf-5610-4a0c-a519-e2a99f1afa86,,
AP67V2_367,,,,,,,,unknown,,urn:uuid:f258d9f1-5871-43cb-bd55-23371ad42578,urn:uuid:8b552b32-cf9d-45e0-9e33-e3f332ab5f0b,,
AP67V2_368,,,,,,,,unknown,,urn:uuid:dadb5b75-c8f3-44b0-ada5-dd6af613d68c,urn:uuid:f46fc86e-4129-428d-870b-4ad951510d65,,
AP67V2_369,,,,,,,,unknown,,urn:uuid:2162c3bb-d507-4932-bc01-728e3a01e7cc,urn:uuid:f8ad4f74-c0ec-454a-a77d-49f2f2473614,,
AP67V2_370,,,,,,,,unknown,,urn:uuid:3429f0dd-ee28-4076-be11-ffdf7a2368ff,urn:uuid:b08da425-664c-4e22-8511-d29012746c60,,
AP67V2_371,,,,,,,,unknown,,urn:uuid:29b44f8e-7d65-4918-a13d-8171b2cfee8e,urn:uuid:3dcce328-02e9-4064-b886-983d69c19aac,,
AP67V2_372,,,,,,,,unknown,,urn:uuid:7b5b2390-f33d-4214-aa76-8e46eef11c80,urn:uuid:1284a5cc-fc77-4daa-9315-2dd3ed0d19e5,,
AP67V2_373,,,,,,,,unknown,,urn:uuid:a2e34dd2-7286-47d8-a313-d75d4bbc0cf9,urn:uuid:1ccb7d97-e14c-4b7b-8cb1-15092a2b76b2,,
AP67V2_374,,,,,,,,unknown,,urn:uuid:aac26d7a-cef9-4516-916d-14cbe645734a,urn:uuid:623c132e-f9ce-4045-962a-2c95e1669c54,,
AP67V2_375,,,,,,,,unknown,,urn:uuid:6917ba62-4dda-44c2-a8ee-a63474cca864,urn:uuid:9ba6fcd0-b30c-4923-b8cc-8ce9166e023b,,
AP67V2_376,,,,,,,,unknown,,urn:uuid:d19bef6d-1a79-4234-98c8-3e03f26e09cf,urn:uuid:48e2cd14-f4a1-43a4-8680-09ab8d7808e9,,
AP67V2_377,,,,,,,,unknown,,urn:uuid:c8ca7085-20ec-4523-b592-24b57e7c5e5f,urn:uuid:2add2b2a-eb87-47af-bf22-2e9ee13a764a,,
AP67V2_378,,,,,,,,unknown,,urn:uuid:cea88ab9-c9bb-45cb-8af6-c7e54ce380e0,urn:uuid:2157e3e6-9d88-4062-8c8c-e1c931db0a45,,
